UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-EM-DAT-FL-1926-0001,1926-07-19,1926-07-19,0,Riverine flood,['Bengal'],,,,,,,,,,,,,EM-DAT,1926-0008,1926
UEI-EM-DAT-FL-1928-0001,1928-10-19,1928-10-19,0,,"['Godavari', ' Vizagapatnam']",,,,,,,,,,,,,EM-DAT,1928-0018,1928
UEI-EM-DAT-FL-1950-0001,1950-07-11,1950-07-11,0,Riverine flood,['Saurashtra'],,,,,,,,,,,,,EM-DAT,1950-0006,1950
UEI-EM-DAT-FL-1956-0001,1956-08-01,1956-08-01,0,,"['Gujarat', ' Saurashtra', ' Kutch']",,,,,,,,,,,,,EM-DAT,1956-0012,1956
UEI-EM-DAT-FL-1956-0002,1956-09-09,1956-09-09,0,,"['Bihar', ' Uttar Pradesh']",,,,,,,,,,,,,EM-DAT,1956-0016,1956
UEI-EM-DAT-FL-1957-0001,1957-09-09,1957-09-09,0,,"['Madya Pradesh', ' Uttar Pradesh']",,,,,,,,,,,,,EM-DAT,1957-0010,1957
UEI-EM-DAT-FL-1958-0001,1958-11-15,1958-11-15,0,,['Madras city'],,,,,,,,,,,,,EM-DAT,1958-0015,1958
UEI-EM-DAT-FL-1959-0001,1959-07-04,1959-07-04,0,,['Kutch'],,,,,,,,,,,,,EM-DAT,1959-0007,1959
UEI-EM-DAT-FL-1960-0001,1960-11-10,1960-11-10,0,,"['Maduri', ' Madras City']",,,,,,,,,,,,,EM-DAT,1960-0032,1960
UEI-EM-DAT-FL-1961-0001,/07/1961,/07/1961,Diffing the dates,,['North'],,,,,,,,,,,,,EM-DAT,1961-0007,1961
UEI-EM-DAT-FL-1961-0002,1961-09-06,1961-09-06,0,,"['Central', ' West India']",,,,,,,,,,,,,EM-DAT,1961-0009,1961
UEI-EM-DAT-FL-1961-0003,1961-10-09,1961-10-09,0,,['Uttar Pradesh'],,,,,,,,,,,,,EM-DAT,1961-0012,1961
UEI-EM-DAT-FL-1964-0001,/07/1964,/07/1964,Diffing the dates,,"['Assam', ' Bihar', ' Punjab']",,,,,,,,,,,,,EM-DAT,1964-0038,1964
UEI-EM-DAT-FL-1964-0002,/10/1964,/10/1964,Diffing the dates,,['Andhra Pradesh'],,,,,,,,,,,,,EM-DAT,1964-0055,1964
UEI-EM-DAT-FL-1966-0001,/06/1966,/06/1966,Diffing the dates,,"['Manipur', ' Assam']",,,,,,,,,,,,,EM-DAT,1966-0046,1966
UEI-EM-DAT-FL-1967-0001,1967-09-05,1967-09-05,0,,"['North', ' Central']",,,,,,,,,,,,,EM-DAT,1967-0055,1967
UEI-EM-DAT-FL-1968-0001,1968-06-12,1968-06-12,0,,['Assam'],,,,,,,,,,,,,EM-DAT,1968-0051,1968
UEI-EM-DAT-FL-1968-0002,/07/1968,/07/1968,Diffing the dates,Flash flood,"['(1) Rajasthan', ' Gujarat - (2) North-East', ' West Bengal', ' Assam']",,,,,,,,,,,,,EM-DAT,1968-0055,1968
UEI-EM-DAT-FL-1970-0001,/07/1970,/07/1970,Diffing the dates,,"['North-East', ' Western', ' North']",,,,,,,,,,,,,EM-DAT,1970-0034,1970
UEI-EM-DAT-FL-1970-0002,1970-09-02,1970-09-02,0,,"['Gujarat', ' Orissa states']",,,,,,,,,,,,,EM-DAT,1970-0105,1970
UEI-EM-DAT-FL-1971-0001,/06/1971,/06/1971,Diffing the dates,,['North'],,,,,,,,,,,,,EM-DAT,1971-0037,1971
UEI-EM-DAT-FL-1971-0002,1971-09-09,1971-09-09,0,,['Uttar Pradesh'],,,,,,,,,,,,,EM-DAT,1971-0052,1971
UEI-EM-DAT-FL-1971-0003,/06/1971,/06/1971,Diffing the dates,,"['Brahmaputra', ' Dhemaji', ' North Lakhimpur', ' Jorhat', ' Tezpur sub-divisions']",,,,,,,,,,,,,EM-DAT,1971-0116,1971
UEI-EM-DAT-FL-1974-0002,1974-07-02,1974-07-02,0,,"['Tinsukia', ' Dhemaji', ' Nowgong', ' Majuli', ' Jorhat', ' Dhubri']",,,,,,,,,,,,,EM-DAT,1974-0129,1974
UEI-EM-DAT-FL-1975-0001,/07/1975,/07/1975,Diffing the dates,,"['Northwest', ' Bihar']",,,,,,,,,,,,,EM-DAT,1975-0037,1975
UEI-EM-DAT-FL-1977-0001,/08/1977,/08/1977,Diffing the dates,Riverine flood,['Ganges region'],,,,,,,,,,,,,EM-DAT,1977-0094,1977
UEI-EM-DAT-FL-1977-0002,/10/1977,/10/1977,Diffing the dates,,['Tamil Nadu'],,,,,,,,,,,,,EM-DAT,1977-0121,1977
UEI-EM-DAT-FL-1978-0001,/07/1978,/07/1978,Diffing the dates,,"['North', ' Northeast']",,,,,,,,,,,,,EM-DAT,1978-0087,1978
UEI-EM-DAT-FL-1978-0002,/09/1978,/09/1978,Diffing the dates,,['West Bengal'],,,,,,,,,,,,,EM-DAT,1978-0111,1978
UEI-EM-DAT-FL-1979-0001,/07/1979,/07/1979,Diffing the dates,,"['North West', ' North', ' North East']",,,,,,,,,,,,,EM-DAT,1979-0060,1979
UEI-EM-DAT-FL-1979-0002,/10/1979,/10/1979,Diffing the dates,,['Assam'],,,,,,,,,,,,,EM-DAT,1979-0093,1979
UEI-EM-DAT-FL-1979-0003,/11/1979,/11/1979,Diffing the dates,,['Tamil Nadu'],,,,,,,,,,,,,EM-DAT,1979-0100,1979
UEI-EM-DAT-FL-1979-0004,1979-08-25,1979-08-25,0,,"['Uttar Pradesh', ' Bihar', ' West Bengal']",,,,,,,,,,,,,EM-DAT,1979-0225,1979
UEI-EM-DAT-FL-1980-0001,/07/1980,/07/1980,Diffing the dates,,['Assam'],,,,,,,,,,,,,EM-DAT,1980-0057,1980
UEI-EM-DAT-FL-1980-0002,/07/1980,/07/1980,Diffing the dates,,['Gujarat'],,,,,,,,,,,,,EM-DAT,1980-0062,1980
UEI-EM-DAT-FL-1980-0003,/08/1980,/08/1980,Diffing the dates,,"['Uttar Pradesh', ' Bihar', ' Gujarat', ' Kerala', ' Haryana']",,,,,,,,,,,,,EM-DAT,1980-0074,1980
UEI-EM-DAT-FL-1980-0004,/09/1980,/09/1980,Diffing the dates,,['Orissa'],,,,,,,,,,,,,EM-DAT,1980-0085,1980
UEI-EM-DAT-FL-1982-0001,/08/1982,/08/1982,Diffing the dates,,['Northeast'],,,,,,,,,,,,,EM-DAT,1982-0087,1982
UEI-EM-DAT-FL-1982-0002,/06/1982,/06/1982,Diffing the dates,,['North-East region'],,,,,,,,,,,,,EM-DAT,1982-0314,1982
