subdivision,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Decade Population
andhra pradesh,1951,1.2,0.0,27.9,46.1,75.4,133.7,285.2,186.5,174.1,89.7,74.2,2.2,1096.1,1.2,149.4,779.4,166.1,31115000
andhra pradesh,1952,0.0,17.4,12.2,28.8,94.2,87.4,130.1,128.8,130.2,251.8,0.0,35.7,916.7,17.4,135.2,476.5,287.5,31115000
andhra pradesh,1953,13.2,0.6,0.0,21.5,43.4,136.7,149.6,190.6,183.7,234.8,15.6,0.3,990.0,13.8,64.9,660.6,250.7,31115000
andhra pradesh,1954,0.3,0.0,9.0,8.0,37.5,129.7,218.5,205.7,266.5,263.0,0.0,15.3,1153.5,0.3,54.5,820.4,278.4,31115000
andhra pradesh,1955,5.1,0.3,18.6,14.2,250.1,118.8,128.9,263.6,177.0,325.9,76.2,0.3,1378.9,5.4,282.9,688.2,402.4,31115000
andhra pradesh,1956,4.2,3.2,0.5,28.6,89.1,210.1,305.2,163.7,209.3,331.1,60.9,2.7,1408.5,7.5,118.1,888.3,394.7,31115000
andhra pradesh,1957,0.7,1.8,21.2,14.3,28.3,152.6,149.5,298.1,198.8,125.5,26.9,0.0,1017.6,2.5,63.7,799.0,152.4,31115000
andhra pradesh,1958,7.4,1.8,10.7,17.5,40.9,108.5,281.4,245.6,215.9,527.2,148.4,0.1,1605.3,9.2,69.1,851.3,675.7,31115000
andhra pradesh,1959,5.8,10.7,0.0,14.7,11.5,178.8,272.3,230.9,161.1,227.3,2.6,5.0,1120.7,16.4,26.3,843.1,234.9,31115000
andhra pradesh,1960,1.4,0.2,25.1,1.3,18.3,167.8,196.4,92.5,287.3,108.8,24.3,20.3,943.6,1.6,44.7,743.9,153.4,31115000
andhra pradesh,1961,9.6,28.4,2.3,9.0,44.4,138.6,199.8,172.9,181.2,282.3,48.7,2.1,1119.2,37.9,55.7,692.5,333.2,35983480
andhra pradesh,1962,3.7,8.7,0.9,34.6,69.6,121.1,231.3,179.1,288.1,357.6,35.8,15.0,1345.5,12.3,105.1,819.6,408.5,35983480
andhra pradesh,1963,0.0,0.0,7.0,50.2,23.5,126.6,137.4,176.1,131.3,371.7,0.1,0.0,1023.9,0.0,80.7,571.4,371.8,35983480
andhra pradesh,1964,0.7,11.2,1.1,6.0,33.5,116.9,170.1,226.4,353.6,76.2,64.6,0.7,1061.0,11.9,40.6,867.0,141.5,35983480
andhra pradesh,1965,1.4,1.2,7.1,35.4,36.7,52.0,166.3,157.5,208.1,61.3,25.0,2.3,754.2,2.6,79.2,583.9,88.6,35983480
andhra pradesh,1966,40.1,1.2,5.0,8.6,22.8,107.1,243.3,163.9,128.7,66.5,146.6,20.9,954.7,41.3,36.3,643.1,234.0,35983480
andhra pradesh,1967,13.1,0.1,71.8,18.6,19.7,124.3,245.6,124.6,141.5,27.9,4.6,51.4,843.1,13.1,110.1,635.9,84.0,35983480
andhra pradesh,1968,11.3,11.8,13.6,42.9,28.0,70.8,170.2,45.5,164.8,197.2,78.1,4.8,838.9,23.1,84.4,451.3,280.0,35983480
andhra pradesh,1969,0.2,0.4,2.7,5.6,262.6,125.1,192.4,99.8,122.7,208.0,201.7,58.5,1279.7,0.7,270.8,540.0,468.2,35983480
andhra pradesh,1970,0.9,9.7,22.3,18.7,95.0,174.0,182.5,243.5,133.3,183.3,0.8,0.0,1064.2,10.6,136.0,733.4,184.1,35983480
andhra pradesh,1971,1.0,26.4,12.7,104.1,88.3,86.4,99.8,205.3,222.0,186.2,1.0,0.0,1033.2,27.4,205.1,613.5,187.2,43502710
andhra pradesh,1972,0.0,32.5,0.0,32.1,20.7,125.1,121.3,80.8,191.6,324.2,86.8,13.3,1028.5,32.5,52.8,518.8,424.4,43502710
andhra pradesh,1973,0.0,0.4,12.0,1.1,45.2,73.3,158.6,178.4,132.5,233.7,23.5,0.3,859.1,0.4,58.3,542.9,257.5,43502710
andhra pradesh,1974,0.1,1.5,11.2,12.9,34.9,120.4,126.3,132.8,194.3,274.2,36.3,0.0,944.9,1.6,59.1,573.8,310.5,43502710
andhra pradesh,1975,0.2,10.5,0.3,2.6,33.5,200.7,154.2,210.9,230.8,300.8,47.6,0.3,1192.4,10.7,36.4,796.5,348.7,43502710
andhra pradesh,1976,0.0,1.1,2.7,22.7,36.9,78.4,199.0,228.8,92.2,81.3,345.9,1.1,1090.3,1.1,62.3,598.5,428.4,43502710
andhra pradesh,1977,1.5,0.0,1.2,62.5,102.4,112.5,149.7,176.8,112.3,121.0,289.9,3.0,1132.8,1.5,166.1,551.2,413.9,43502710
andhra pradesh,1978,9.1,18.0,12.2,29.4,19.0,166.7,193.1,258.5,194.2,77.8,54.2,6.0,1038.3,27.1,60.6,812.5,138.1,43502710
andhra pradesh,1979,0.6,30.2,0.1,15.2,125.1,108.7,97.3,95.5,233.2,52.2,160.6,15.5,934.1,30.7,140.4,534.6,228.3,43502710
andhra pradesh,1980,0.5,2.4,5.6,16.1,31.5,217.5,169.3,176.7,128.0,205.0,48.4,13.8,1014.8,2.9,53.2,691.5,267.2,43502710
andhra pradesh,1981,16.0,0.1,31.4,15.2,62.3,99.7,181.3,149.5,264.0,89.7,18.0,2.1,929.3,16.0,108.9,694.5,109.8,53551030
andhra pradesh,1982,1.6,0.5,7.5,37.5,47.6,94.4,151.2,148.3,135.7,210.6,53.5,0.1,888.5,2.1,92.7,529.5,264.2,53551030
andhra pradesh,1983,0.1,17.3,4.6,8.8,56.2,147.0,188.1,264.1,259.2,232.7,7.6,10.2,1196.0,17.4,69.6,858.5,250.6,53551030
andhra pradesh,1984,5.7,9.8,1.8,26.5,21.2,89.1,219.0,123.1,154.8,111.8,20.9,1.6,785.2,15.5,49.5,585.9,134.3,53551030
andhra pradesh,1985,42.7,0.4,1.7,7.0,17.9,105.1,198.6,179.3,88.6,248.2,32.6,45.5,967.6,43.1,26.6,571.6,326.3,53551030
andhra pradesh,1986,32.6,25.9,2.2,26.6,44.1,101.0,106.0,336.2,95.3,124.4,111.9,3.7,1009.7,58.4,72.9,638.4,239.9,53551030
andhra pradesh,1987,20.9,0.2,24.0,16.9,52.9,75.6,99.7,163.4,103.4,265.0,243.6,14.2,1079.9,21.1,93.9,442.2,522.8,53551030
andhra pradesh,1988,0.0,16.7,2.3,38.4,69.6,68.2,313.4,269.8,277.5,78.6,5.8,24.6,1164.8,16.7,110.3,928.9,109.0,53551030
andhra pradesh,1989,0.1,0.1,37.4,7.3,31.9,128.3,329.6,235.5,189.6,55.5,13.2,1.6,1030.0,0.2,76.6,883.0,70.3,53551030
andhra pradesh,1990,10.3,81.1,84.5,24.2,507.7,107.4,102.5,223.2,158.5,248.7,58.9,4.3,1611.1,91.4,616.4,591.5,311.9,53551030
andhra pradesh,1991,19.6,3.3,6.6,17.9,24.5,215.5,145.3,134.4,265.7,148.7,132.4,8.3,1122.1,22.8,49.0,760.9,289.3,66508170
andhra pradesh,1992,13.1,4.3,0.0,9.1,45.5,75.6,208.4,207.2,145.8,147.5,144.4,0.0,1001.0,17.4,54.6,637.1,291.8,66508170
andhra pradesh,1993,2.2,9.8,16.6,26.6,71.7,73.2,166.2,99.3,172.9,196.2,17.5,17.5,869.7,12.0,114.9,511.7,231.2,66508170
andhra pradesh,1994,7.2,17.4,3.1,30.6,49.2,62.5,218.3,156.5,137.0,257.6,213.4,2.1,1155.1,24.6,83.0,574.4,473.1,66508170
andhra pradesh,1995,27.5,2.5,12.0,19.8,257.8,80.0,225.3,212.7,128.6,329.6,50.1,6.1,1352.0,30.1,289.6,646.6,385.8,66508170
andhra pradesh,1996,3.4,5.8,4.4,23.7,23.8,236.8,206.9,225.2,160.5,240.0,68.9,11.4,1210.9,9.3,51.9,829.4,320.3,66508170
andhra pradesh,1997,15.1,5.6,19.7,62.6,25.2,63.1,156.0,128.1,315.5,83.6,51.7,45.7,972.1,20.7,107.6,662.7,181.0,66508170
andhra pradesh,1998,12.6,35.7,24.7,38.9,33.6,136.2,214.1,252.2,255.5,178.6,128.6,0.0,1310.8,48.3,97.2,858.0,307.2,66508170
andhra pradesh,1999,0.1,2.7,0.2,11.0,74.3,126.4,154.2,136.6,137.5,153.9,28.3,0.0,825.1,2.8,85.4,554.7,182.2,66508170
andhra pradesh,2000,0.1,42.4,0.7,19.1,68.4,200.5,154.1,311.5,102.9,69.6,10.6,12.4,992.3,42.5,88.3,768.9,92.6,66508170
andhra pradesh,2001,4.6,3.8,20.0,54.1,50.8,117.2,123.0,170.7,187.2,196.0,78.0,4.1,1009.3,8.4,124.8,598.1,278.0,75728400
andhra pradesh,2002,28.0,0.0,7.3,34.8,35.0,115.2,74.7,173.5,71.7,148.7,14.3,0.0,703.2,28.0,77.1,435.0,163.0,75728400
andhra pradesh,2003,6.2,19.4,40.7,19.4,12.2,104.0,241.7,158.3,130.2,252.3,11.5,101.1,1096.8,25.6,72.3,634.1,364.9,75728400
andhra pradesh,2004,24.0,11.4,11.6,40.1,57.6,152.8,192.1,125.0,101.7,147.9,9.4,0.2,873.6,35.3,109.3,571.5,157.5,75728400
andhra pradesh,2005,13.6,8.0,17.4,32.2,48.4,88.1,151.5,105.9,398.1,298.0,56.2,4.2,1221.6,21.6,98.0,743.6,358.4,75728400
andhra pradesh,2006,0.0,0.0,30.7,58.0,67.6,132.0,126.8,279.7,224.1,185.4,55.3,0.0,1159.6,0.0,156.3,762.6,240.7,75728400
andhra pradesh,2007,0.0,5.1,0.1,8.5,13.0,300.1,141.0,164.4,287.1,167.7,11.9,0.5,1099.2,5.1,21.6,892.5,180.0,75728400
andhra pradesh,2008,3.2,61.6,93.8,18.5,34.9,119.8,208.5,276.2,166.8,51.6,71.4,1.2,1107.5,64.8,147.1,771.4,124.2,75728400
andhra pradesh,2009,0.0,0.0,5.7,6.4,53.0,72.6,140.9,163.5,151.9,92.6,102.6,1.3,790.5,0.0,65.1,528.8,196.5,75728400
andhra pradesh,2010,21.8,2.3,4.4,14.8,162.0,156.1,318.9,248.6,230.5,204.0,210.9,138.2,1712.4,24.1,181.2,954.0,553.1,75728400
andhra pradesh,2011,0.0,17.9,0.9,62.3,67.9,86.8,196.0,215.8,129.7,74.6,4.9,5.0,861.9,17.9,131.2,628.4,84.4,49386799
arunachal pradesh,1951,31.8,65.3,309.9,441.0,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.2,97.1,1095.3,1974.7,187.1,0
arunachal pradesh,1952,17.2,24.5,189.6,151.5,235.1,276.8,320.6,481.1,368.2,257.9,43.9,29.7,2396.1,41.7,576.2,1446.7,331.5,0
arunachal pradesh,1953,56.4,106.9,236.0,214.9,314.9,409.9,512.5,245.3,449.8,0.0,10.4,23.4,0.0,163.3,765.8,1617.5,0.0,0
arunachal pradesh,1957,0.0,0.0,0.0,246.9,448.9,608.1,1219.4,542.6,505.8,146.6,17.1,40.6,0.0,0.0,0.0,2875.9,204.3,0
arunachal pradesh,1958,98.4,67.5,32.9,138.5,698.6,511.2,457.7,1664.6,705.2,669.4,2.5,17.0,5063.5,165.9,870.0,3338.7,688.9,0
arunachal pradesh,1959,83.2,137.9,104.5,146.4,671.8,812.9,1137.7,333.2,508.8,247.0,12.1,0.0,4195.5,221.1,922.7,2792.6,259.1,0
arunachal pradesh,1960,8.0,26.8,53.2,137.1,210.7,653.9,1296.8,251.3,1034.8,13.0,13.4,10.4,3709.4,34.8,401.0,3236.8,36.8,0
arunachal pradesh,1961,50.0,204.2,289.6,181.0,492.3,595.5,738.3,547.9,256.2,260.5,57.1,3.9,3676.5,254.2,962.9,2137.9,321.5,337300
arunachal pradesh,1962,37.2,87.1,45.1,250.3,601.9,1088.8,758.1,1405.9,222.4,255.6,0.0,0.0,0.0,124.3,897.3,3475.2,0.0,337300
arunachal pradesh,1963,14.6,35.2,168.6,262.6,346.4,755.4,817.4,1199.3,366.4,136.4,20.0,15.7,4138.0,49.8,777.6,3138.5,172.1,337300
arunachal pradesh,1964,55.4,90.3,81.1,219.7,286.4,1432.8,1506.1,492.1,465.1,246.2,12.2,71.9,4959.3,145.7,587.2,3896.1,330.3,337300
arunachal pradesh,1965,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8,158.1,665.0,1244.7,129.0,337300
arunachal pradesh,1966,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39.0,6.3,2209.6,113.8,456.5,1515.1,124.2,337300
arunachal pradesh,1967,13.3,45.5,147.9,96.6,164.0,253.1,434.5,220.8,212.8,58.5,10.0,11.5,1668.5,58.8,408.5,1121.2,80.0,337300
arunachal pradesh,1968,54.2,41.4,135.9,117.6,307.2,510.1,404.8,227.5,243.5,75.8,12.5,8.4,2139.0,95.7,560.7,1385.9,96.8,337300
arunachal pradesh,1969,19.2,10.0,33.8,127.0,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7,29.2,363.1,1392.7,92.8,337300
arunachal pradesh,1970,49.2,78.8,57.4,108.8,213.4,409.6,377.9,245.4,287.4,138.6,6.9,0.0,1973.4,128.0,379.7,1320.2,145.5,337300
arunachal pradesh,1971,56.0,67.8,47.1,121.8,222.4,446.0,385.5,288.2,239.6,235.1,67.8,7.3,2184.5,123.8,391.3,1359.3,310.2,468885
arunachal pradesh,1972,39.2,114.2,108.3,231.5,299.5,314.4,438.3,270.7,334.5,83.3,25.9,21.5,2281.3,153.5,639.3,1357.9,130.7,468885
arunachal pradesh,1973,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5,283.5,554.0,1385.5,234.4,468885
arunachal pradesh,1974,130.9,95.4,127.8,272.6,248.3,466.7,648.9,446.8,461.2,121.1,14.0,30.3,3063.9,226.3,648.7,2023.5,165.4,468885
arunachal pradesh,1975,17.3,76.9,101.7,165.1,188.0,268.5,427.0,185.2,297.0,451.6,21.5,13.6,2213.3,94.2,454.8,1177.7,486.6,468885
arunachal pradesh,1976,8.9,112.9,168.0,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5,121.8,608.0,1416.7,273.1,468885
arunachal pradesh,1977,71.2,133.5,209.3,560.2,417.8,543.5,484.7,610.1,311.9,213.5,141.0,77.7,3774.3,204.6,1187.3,1950.2,432.2,468885
arunachal pradesh,1978,37.1,82.2,150.6,216.4,345.6,577.2,357.5,172.4,310.4,133.0,146.1,2.5,2531.0,119.3,712.6,1417.4,281.6,468885
arunachal pradesh,1979,47.4,81.6,138.2,158.8,210.3,239.4,665.4,296.9,417.5,409.6,27.4,81.2,2773.6,129.0,507.2,1619.2,518.3,468885
arunachal pradesh,1980,65.6,130.4,251.4,372.0,245.5,530.9,514.1,544.7,367.4,185.4,7.8,0.2,3215.3,195.9,868.9,1957.1,193.3,468885
arunachal pradesh,1981,93.1,136.1,255.2,197.4,285.0,494.9,549.3,360.6,262.6,71.8,29.3,55.5,2790.9,229.2,737.6,1667.4,156.7,632502
arunachal pradesh,1982,6.4,100.4,151.2,335.3,241.4,429.8,593.0,197.0,526.6,82.3,53.8,62.2,2779.5,106.8,727.9,1746.4,198.3,632502
arunachal pradesh,1983,65.4,171.1,217.6,351.2,301.9,551.0,563.2,389.9,476.4,191.7,14.9,40.8,3335.3,236.5,870.7,1980.6,247.4,632502
arunachal pradesh,1984,98.1,42.8,166.9,389.3,448.7,417.3,671.0,309.2,455.5,184.1,5.7,89.5,3278.0,140.8,1004.9,1853.0,279.3,632502
arunachal pradesh,1985,54.1,81.0,255.6,347.1,345.5,506.0,657.8,326.3,502.2,116.6,25.4,48.8,3266.2,135.0,948.2,1992.2,190.7,632502
arunachal pradesh,1986,19.3,90.1,122.8,335.3,101.8,402.5,453.7,355.3,387.6,176.6,36.6,14.0,2495.6,109.5,559.8,1599.1,227.2,632502
arunachal pradesh,1987,3.7,72.5,147.7,352.0,230.8,501.5,754.9,558.8,646.6,101.1,24.1,39.6,3433.2,76.2,730.4,2461.9,164.8,632502
arunachal pradesh,1988,50.9,118.3,250.7,278.9,535.9,287.0,868.1,815.6,486.3,416.4,34.2,13.1,4155.3,169.2,1065.4,2457.0,463.6,632502
arunachal pradesh,1989,52.6,171.9,92.9,388.7,239.7,484.2,640.7,305.3,526.5,281.7,77.9,19.6,3281.6,224.5,721.2,1956.8,379.1,632502
arunachal pradesh,1990,54.8,112.4,149.0,289.9,366.2,857.2,534.0,352.8,625.5,240.6,2.0,19.7,3604.0,167.2,805.1,2369.5,262.3,632502
arunachal pradesh,1991,24.9,86.0,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189.0,22.2,80.8,3434.4,110.9,727.7,2303.9,291.9,865900
arunachal pradesh,1992,33.2,128.9,184.6,196.4,239.2,522.9,557.2,294.3,328.2,201.5,11.5,8.9,2707.0,162.1,620.3,1702.7,221.8,865900
arunachal pradesh,1993,95.7,125.4,134.4,130.6,408.3,569.5,619.2,691.9,323.1,228.6,14.7,7.5,3348.9,221.1,673.3,2203.7,250.8,865900
arunachal pradesh,1994,48.2,72.6,215.3,232.1,382.9,416.1,233.0,280.2,225.0,161.6,14.1,6.2,2287.4,120.8,830.3,1154.4,181.9,865900
arunachal pradesh,1995,20.6,79.9,84.3,198.8,363.9,686.9,714.5,328.8,425.1,82.4,51.0,32.6,3068.8,100.5,647.1,2155.2,166.0,865900
arunachal pradesh,1996,35.7,56.2,163.6,171.4,398.2,316.2,593.0,372.1,191.2,212.5,9.1,1.4,2520.5,91.8,733.1,1472.5,223.0,865900
arunachal pradesh,1997,26.2,68.5,158.5,94.7,212.6,548.0,395.2,237.0,403.5,58.5,45.9,26.3,2274.9,94.6,465.8,1583.7,130.7,865900
arunachal pradesh,1998,26.7,78.8,193.6,125.0,275.0,839.8,823.8,807.0,236.8,187.2,20.5,2.5,3616.7,105.6,593.6,2707.4,210.2,865900
arunachal pradesh,1999,7.9,6.1,40.4,159.6,343.2,450.0,376.9,438.1,254.0,207.9,28.3,4.3,2316.6,14.0,543.2,1519.0,240.4,865900
arunachal pradesh,2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8,101.2,700.8,1650.0,144.8,865900
arunachal pradesh,2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0,119.7,560.5,1147.8,208.0,1098328
arunachal pradesh,2002,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2,111.4,571.6,1549.4,156.9,1098328
arunachal pradesh,2003,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8,106.1,465.2,1656.6,223.9,1098328
arunachal pradesh,2004,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6,1098328
arunachal pradesh,2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400.0,243.6,139.3,28.6,3.3,2335.5,216.0,604.6,1343.7,171.2,1098328
arunachal pradesh,2006,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7,1098328
arunachal pradesh,2007,13.4,97.4,48.1,292.4,250.4,530.2,761.0,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9,1098328
arunachal pradesh,2008,76.7,39.7,122.6,192.4,185.0,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4,1098328
arunachal pradesh,2009,18.0,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7,1098328
arunachal pradesh,2010,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9,1098328
arunachal pradesh,2011,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3,1382611
assam,1951,4.9,3.3,53.5,242.9,250.4,588.8,550.5,387.4,209.7,270.5,46.2,5.8,2613.8,8.2,546.9,1736.3,322.5,8029100
assam,1952,4.4,10.4,107.5,155.9,465.6,399.9,573.9,467.6,343.7,277.1,43.2,2.1,2851.3,14.8,729.0,1785.2,322.4,8029100
assam,1953,18.0,13.3,227.3,157.4,377.7,405.5,461.9,284.5,451.5,144.0,5.8,13.1,2559.9,31.3,762.4,1603.4,162.9,8029100
assam,1954,22.0,45.7,40.6,266.0,490.3,594.3,572.2,427.3,218.8,155.5,2.0,24.5,2859.1,67.6,796.9,1812.6,182.0,8029100
assam,1955,9.2,9.5,143.5,210.2,328.8,546.5,567.0,415.8,283.3,149.3,89.6,8.5,2761.2,18.7,682.5,1812.6,247.4,8029100
assam,1956,29.8,3.2,121.7,204.8,533.5,712.4,440.3,382.1,171.9,149.3,44.3,9.6,2802.9,33.0,859.9,1706.7,203.3,8029100
assam,1957,66.9,33.5,20.1,136.0,449.2,446.0,407.2,366.6,208.7,99.9,12.2,10.7,2257.2,100.4,605.4,1428.6,122.8,8029100
assam,1958,18.8,44.2,10.3,192.4,545.2,393.2,361.1,546.9,278.7,212.4,4.6,18.7,2626.4,63.0,747.9,1579.8,235.7,8029100
assam,1959,30.8,45.6,109.9,144.1,470.6,517.6,364.2,255.9,286.8,301.7,8.3,0.2,2535.8,76.4,724.6,1424.6,310.1,8029100
assam,1960,0.1,11.1,38.7,45.9,315.2,454.8,553.7,349.2,479.4,60.9,29.3,3.9,2342.2,11.2,399.9,1837.0,94.0,8029100
assam,1961,11.5,19.7,253.8,123.0,355.8,335.4,352.9,347.4,226.1,128.1,34.8,6.9,2195.3,31.2,732.6,1261.7,169.8,10837700
assam,1962,24.9,27.6,17.3,134.7,369.0,601.4,338.8,509.8,137.4,118.2,11.1,5.8,2295.9,52.5,521.1,1587.3,135.0,10837700
assam,1963,3.3,7.9,51.1,183.3,288.4,596.0,557.3,432.0,211.7,144.1,29.4,7.2,2511.8,11.2,522.8,1797.1,180.7,10837700
assam,1964,9.6,22.6,80.7,268.3,297.4,557.9,600.3,340.4,326.3,205.1,8.3,12.8,2729.6,32.2,646.4,1824.8,226.2,10837700
assam,1965,5.1,73.6,52.5,158.2,327.1,501.0,399.6,422.1,304.0,82.4,60.8,12.5,2398.9,78.7,537.7,1626.7,155.7,10837700
assam,1966,20.0,23.6,36.1,164.3,323.7,780.5,507.1,518.2,248.1,124.5,31.8,11.4,2789.3,43.6,524.1,2053.9,167.7,10837700
assam,1967,11.4,37.3,105.9,112.0,287.5,395.7,497.7,258.9,300.6,97.6,14.5,4.2,2123.4,48.8,505.4,1452.9,116.3,10837700
assam,1968,22.9,19.8,78.2,170.8,432.3,595.0,494.1,346.0,231.7,113.8,23.9,2.3,2530.8,42.7,681.3,1666.8,140.0,10837700
assam,1969,27.4,1.8,99.7,178.7,254.1,567.2,461.1,446.7,185.4,80.9,27.5,1.8,2332.2,29.2,532.4,1660.3,110.2,10837700
assam,1970,47.0,35.8,89.7,204.8,493.4,658.3,475.3,389.2,390.7,246.4,17.8,0.1,3048.4,82.8,787.9,1913.5,264.3,10837700
assam,1971,36.9,18.4,37.6,142.9,236.3,437.1,407.9,474.8,231.6,199.5,80.0,12.1,2315.1,55.3,416.8,1551.3,291.6,14625157
assam,1972,18.0,39.6,99.3,260.3,339.3,576.2,441.0,271.0,227.1,99.1,2.9,5.3,2379.1,57.6,698.9,1515.3,107.3,14625157
assam,1973,9.8,82.8,28.9,252.1,324.5,634.4,364.6,395.0,348.6,128.7,67.4,35.3,2672.1,92.6,605.5,1742.6,231.4,14625157
assam,1974,31.6,11.4,78.7,255.8,369.4,627.0,789.3,510.9,429.1,271.0,27.1,2.3,3403.5,43.0,703.8,2356.3,300.4,14625157
assam,1975,10.0,22.3,18.8,227.9,321.2,337.6,522.4,314.8,299.1,172.7,18.0,5.8,2270.6,32.3,567.9,1473.9,196.5,14625157
assam,1976,5.7,36.3,92.6,139.4,179.5,509.7,390.5,358.5,149.1,67.3,24.3,3.1,1956.0,42.1,411.5,1407.8,94.6,14625157
assam,1977,9.1,16.2,74.4,375.1,391.6,405.0,461.3,461.9,176.9,175.7,47.7,21.8,2616.6,25.2,841.1,1505.2,245.2,14625157
assam,1978,5.0,8.2,44.3,100.9,253.7,506.6,444.0,255.8,271.8,65.0,55.9,0.6,2011.9,13.2,399.0,1478.2,121.6,14625157
